context,gold,pred0,pred1,pred2,pred3,pred4
He lost his life long ago . but there 's still something modern science can give him back his identity . The mystery of the frozen airman continues . Next stop the lab . And anger in the hood over a sign of the times . If Fifty Cent does n't have good sense then <anteced> he </anteced> needs to stop doing what he 's doing .,The rap star 's,He,He,He,He,He
He lost his life long ago . but there 's still something modern science can give him back his identity . The mystery of the frozen airman continues . Next stop the lab . And anger in the hood over a sign of the times . If Fifty Cent does n't have good sense then he needs to stop doing what he 's doing . <anteced> The rap star 's new movie </anteced> is one thing . but the billboards for,it,the movie,his,the movie,Fancy Capra,it
The mystery of the frozen airman continues . Next stop the lab . And anger in the hood over a sign of the times . If Fifty Cent does n't have good sense then he needs to stop doing what he 's doing . The rap star 's new movie is one thing . but <anteced> the billboards for it </anteced> are another . Residents of Los Angeles want,them,them,them,their,it,themselves
The mystery of the frozen airman continues . Next stop the lab . And anger in the hood over a sign of the times . If Fifty Cent does n't have good sense then he needs to stop doing what he 's doing . The rap star 's new movie is one thing . but <anteced> the billboards for it </anteced> are another . Residents of Los Angeles want them and,their,the film,them,they,they,they
The mystery of the frozen airman continues . Next stop the lab . And anger in the hood over a sign of the times . If Fifty Cent does n't have good sense then he needs to stop doing what he 's doing . The rap star 's new movie is one thing . but the billboards for it are another . Residents of Los Angeles want <anteced> them </anteced> and,their,them,they,them,them,their
<anteced> President Bush </anteced> unveiled a seven point one billion dollar plan to help protect Americans against the threat from bird flu . It includes stockpiling enough vaccine to protect twenty million people .,The president,He,President Bush,Bush,President Bush,President Bush
President Bush unveiled a seven point one billion dollar plan to help protect Americans against the threat from bird flu . It includes stockpiling enough vaccine to protect twenty million people . The president says there is no immediate threat but there is cause for concern . In Washington tensions are high after an unsual Senate session . Democrats <anteced> used </anteced> a little used rule to force a special closed session . Democrats say,it,the rule,they,they,they,they
It includes stockpiling enough vaccine to protect twenty million people . The president says there is no immediate threat but there is cause for concern . In Washington tensions are high after an unsual Senate session . Democrats used a little used rule to force a special closed session . Democrats say it was to force Republican leaders to complete a long promised investigation into how Bush administration officials handled pre-war intelligence on Iraq . <anteced> Republicans </anteced> for,their,their,their,their,them,their
The president says there is no immediate threat but there is cause for concern . In Washington tensions are high after an unsual Senate session . Democrats <anteced> used </anteced> a little used rule to force a special closed session . Democrats say it was to force Republican leaders to complete a long promised investigation into how Bush administration officials handled pre-war intelligence on Iraq . Republicans for their part are calling,it,it,that,the office,it,it
The president says there is no immediate threat but there is cause for concern . In Washington tensions are high after an unsual Senate session . Democrats used a little used rule to force a special closed session . Democrats say <anteced> it </anteced> was to force Republican leaders to complete a long promised investigation into how Bush administration officials handled pre-war intelligence on Iraq . Republicans for their part are calling,it,it,it,the administration,it,this
In Washington tensions are high after an unsual Senate session . Democrats used a little used rule to force a special closed session . Democrats say it was to force Republican leaders to complete a long promised investigation into how Bush administration officials handled pre-war intelligence on <anteced> Iraq </anteced> . Republicans for their part are calling it a political stunt . And Defense Secretary Donald Rumsfeld says more American troops could soon be heading to,Iraq,Iraq,Iraq,the country,the front lines in the fight against <anaphor>the insurgents,Iraq
In Washington tensions are high after an unsual Senate session . Democrats used a little used rule to force a special closed session . Democrats say it was to force Republican leaders to complete a long promised investigation into how Bush administration officials handled pre-war intelligence on Iraq . Republicans for their part are calling it a political stunt . And <anteced> Defense Secretary Donald Rumsfeld </anteced> says more American troops could soon be heading to Iraq .,He,He,We,He,He,Mr. Rumsfeld
